Seria,Aktywność,Algorytm,SDANN,SDNN Index,RSA Index,Mean RR,SDNN,RMSSD,PNN50
5,Spacer,CNN,15.54,130.64,65.32,552.24,128.52,188.84,13.08
6,Spacer,CNN,7.57,185.65,83.38,578.61,190.44,249.22,21.57
7,Spacer,CNN,7.29,134.94,80.37,544.67,142.56,201.81,10.19
8,Spacer,CNN,30.41,175.99,80.52,589.83,189.43,262.51,23.23
9,Spacer,CNN,40.58,207.95,83.11,636.99,206.39,297.38,14.29
10,Spacer,CNN,45.06,158.52,82.62,609.9,178.64,257.74,14.74
1,Sen,CNN,8.31,40.54,10.56,999.91,41.41,33.77,12.07
2,Sen,CNN,14.32,42.94,13.92,1004.38,48.61,38.49,17.24
3,Sen,CNN,5.03,31.20,7.81,981.81,32.06,28.29,6.78
4,Sen,CNN,6.87,53.33,22.46,983.8,54.53,39.63,20.34
5,Sen,CNN,7.64,58.12,23.15,1011.53,63.8,51.4,24.14
6,Sen,CNN,10.43,38.47,9.44,988.32,39.26,35.63,20.69
7,Sen,CNN,6.87,60.51,21.78,981.11,70.47,41.01,28.81
8,Sen,CNN,9.81,36.23,8.80,1009.65,37.52,35.91,17.24
9,Sen,CNN,10.38,36.55,10.01,983.15,37.38,31.98,13.56
10,Sen,CNN,1.08,37.24,11.19,975.32,39.08,34.66,11.86
